customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Contas_Diarias,escala_customer_tenure,escala_account_Charges_Monthly,escala_account_Charges_Total,escala_Contas_Diarias
0002-ORFBO,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,2.16,0-20,61-80,501-1000,2.0-2.5
0003-MKNFE,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed check,59.9,542.4,1.97,0-20,41-60,501-1000,1.5-2.0
0004-TLHLJ,yes,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,280.85,2.43,0-20,61-80,0-500,2.0-2.5
0011-IGKFF,yes,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,1237.85,3.22,0-20,81-100,1001-1500,3.0-3.5
0013-EXCHZ,yes,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,mailed check,83.9,267.4,2.76,0-20,81-100,0-500,2.5-3.0
0013-MHZWF,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),69.4,571.45,2.28,0-20,61-80,501-1000,2.0-2.5
0013-SMEOE,no,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.7,7904.25,3.6,71-80,101-120,7501-8000,3.5-4.0
0014-BMAQU,no,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,credit card (automatic),84.65,5377.8,2.78,61-70,81-100,5001-5500,2.5-3.0
0015-UOCOJ,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,340.35,1.58,0-20,41-60,0-500,1.5-2.0
0016-QLJIS,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.45,5957.9,2.97,61-70,81-100,5501-6000,2.5-3.0
0017-DINOC,no,male,0,no,no,54,no,no phone service,dsl,yes,no,no,yes,yes,no,two year,no,credit card (automatic),45.2,2460.55,1.48,51-60,41-60,2001-2500,1.0-1.5
0017-IUDMW,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),116.8,8456.75,3.84,71-80,101-120,> 8000,3.5-4.0
0018-NYROU,no,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,68.95,351.5,2.27,0-20,61-80,0-500,2.0-2.5
0019-EFAEP,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,7261.25,3.33,71-80,101-120,7001-7500,3.0-3.5
0019-GFNTW,no,female,0,no,no,56,no,no phone service,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),45.05,2560.1,1.48,51-60,41-60,2501-3000,1.0-1.5
0020-INWCK,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,6849.4,3.15,71-80,81-100,6501-7000,3.0-3.5
0020-JDNXP,no,female,0,yes,yes,34,no,no phone service,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,1993.2,2.01,31-40,61-80,1501-2000,2.0-2.5
0021-IKXGC,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,72.1,2.37,0-20,61-80,0-500,2.0-2.5
0022-TCJCI,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),62.7,2791.5,2.06,41-50,61-80,2501-3000,2.0-2.5
0023-HGHWL,yes,male,1,no,no,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,25.1,0.82,0-20,21-40,0-500,0.5-1.0
0023-UYUPN,no,female,1,yes,no,50,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,25.2,1306.3,0.83,41-50,21-40,1001-1500,0.5-1.0
